動画ID	再生数	コメント数	マイリスト数	C1(堂々)	C2(元気が出る)	C3(切ない)	C4(激しい)	C5(滑稽な)	C6(かわいい)	Valence	Arousal
sm17191781	264664	7402	13129	3.3333	2.3333	1.3333	3.6667	4.6667	1.3333	1.6667	0.6667
sm17201316	112578	3166	6722	3	4.3333	3	2.3333	2.6667	4.3333	0.3333	0.3333
sm17202463	12600	252	774	1	1	4.3333	1.6667	1.3333	1.6667	-1.6667	-1.3333
sm17211747	926052	39697	44394	4	4.6667	1	2.6667	3.6667	4.6667	1.3333	1.6667
sm17213108	23916	831	1460	3.6667	4.3333	3	1.6667	2	4	-1.3333	1
sm17213446	17144	320	1254	4.3333	4.6667	1.3333	3	3.6667	5	-0.6667	2
sm17228726	17632	1019	571	2.3333	2.6667	3	3	1.6667	2	0	-0.3333
sm17235354	30946	440	1388	3	2.3333	2.3333	3	2.3333	1.6667	1	0.3333
sm17323674	7752	288	435	2	1.6667	3.6667	2.3333	1	1.6667	0.6667	-0.3333
sm17336304	8461	243	459	1.6667	2	4	1.3333	1.6667	2.3333	-1.3333	-0.6667
sm17457529	20510	571	863	2.3333	3.3333	1.6667	1.6667	3.6667	2	0	1
sm1884912	9432	237	115	2.6667	2	2.3333	3	3.6667	1.6667	0	0.3333
sm1986944	10267	313	240	2.3333	3	2.6667	1	1.6667	4.3333	-0.3333	1.3333
sm2013783	36361	1313	717	3.3333	4.6667	1	1.6667	4	4.3333	0	1.3333
sm2039810	15978	255	255	3	1	3.6667	4.3333	2	1	1.6667	-0.6667
sm2088347	360611	7491	6407	2.6667	4.3333	2	1.3333	4.3333	5	1.6667	0.3333
sm2096153	22931	1368	1156	2	3	1	1.6667	5	2.6667	-0.3333	1.3333
sm2205860	10787	820	246	3.3333	3.3333	2.3333	4.3333	2.3333	1.6667	1.3333	0.6667
sm2280411	13306	465	187	1.6667	1	3.6667	3	2	1	1.3333	-0.6667
sm2408207	10710	372	276	2.6667	2.6667	3.6667	2.3333	2	4	-0.6667	0
sm2489873	14135	428	252	3	3.3333	3	2.3333	2.6667	2.3333	-0.3333	0.3333
sm2519176	45223	1609	1296	2	2	3.6667	2	2	1	-1.3333	-1
sm2533949	4563	337	135	2.6667	4	2	2	3.3333	3.3333	-0.6667	1
sm2553659	16525	436	376	1.3333	3	1.6667	1.3333	1.3333	1.3333	-0.6667	1
sm2577615	5075	211	91	3.6667	2	1	4.6667	4	1.6667	1.3333	0.6667
sm2584252	17183	948	473	1.3333	3.3333	2.6667	1	1	2.3333	-0.6667	-0.3333
sm2653480	34951	1335	1001	4	3.6667	2.3333	3	2	1.6667	0	1
sm2678744	232978	10806	7145	3.3333	3	1	1.6667	4.6667	3	0.3333	0.6667
sm2758851	38094	2203	1667	3.3333	4.6667	1	1	4.3333	4.3333	-0.3333	1.6667
sm2827322	10395	426	334	4	4	1	1.3333	3	4.6667	-0.3333	2
sm3032672	13484	650	319	2.3333	1	3.6667	1.3333	3	1	-0.6667	-1.3333
sm3045725	37148	1214	773	2.6667	2.6667	3.6667	2.3333	2.6667	3	0.6667	0.6667
sm3060283	14159	714	475	2.6667	4	1.6667	1.3333	1.6667	3.3333	-1	1
sm3197958	6444	133	78	3	3.3333	2.3333	4	2.6667	2	0.3333	0.6667
sm3279352	10174	440	165	4.3333	4.6667	1.6667	2	5	4.6667	0	1.6667
sm3372198	20613	802	575	3	2.3333	2.6667	2.6667	1	1.6667	1	0.3333
sm3419490	9244	438	283	1	1	1	1	1	1	0	0
sm3425798	6268	171	185	1	1.3333	3.3333	1	1.6667	1.6667	-1.6667	-1
sm3534601	67750	1842	2272	2.3333	2.6667	2	1.6667	2.3333	3.3333	-0.6667	0.6667
sm3636268	9733	549	242	3.3333	3.3333	1.6667	1.6667	1.3333	3	0.3333	1
sm3671490	23156	499	245	3.3333	4	1	2.3333	4.3333	3.3333	0	1.3333
sm3671912	10523	323	213	3.6667	3.6667	2	3	4.3333	1.6667	0.6667	1
sm3698889	8065	300	130	2	1	4	2	3.3333	2	-0.6667	-1
sm3950088	6807	293	326	3	3	1.3333	2	4	3.3333	0.3333	0.6667
sm3971759	11192	235	240	2.6667	1.3333	3.6667	2.6667	5	2.6667	0.3333	-1
sm3995757	248078	6146	7001	3	1.6667	3.6667	3.3333	3	1.3333	0.6667	0
sm4028567	18795	513	527	2.6667	2.6667	4.3333	2.6667	2	4	-1	-0.6667
sm4180612	7378	217	159	3	3	3	1.6667	2	2.6667	-0.3333	1
sm4189459	33052	1411	933	4	4.6667	1	2.6667	3.3333	3.6667	-0.3333	2
sm4218005	311865	27180	12342	3.3333	4	1.3333	3	3.3333	4.6667	0	1.6667
sm4225465	9302	222	202	1	1	1	1	1	1	0	0
sm4247321	104382	2411	3505	1.6667	1.6667	2	1.3333	3.3333	1.3333	-1.6667	-0.3333
sm4271005	21686	1080	448	4.3333	4.3333	1.3333	2.3333	4	3.6667	0	1.3333
sm4291081	5886	235	208	3.3333	3.6667	2.3333	2.3333	2.3333	3.3333	0	1.3333
sm4387562	8417	347	158	2.6667	3.3333	2.6667	1.6667	2	2.3333	-0.6667	0.6667
sm4451787	27995	677	950	3	2.75	2.25	2.25	3	1.75	0.25	0.25
sm4459566	9713	486	279	4	5	1	1.6667	3	3.6667	0.3333	1.6667
sm4554935	35399	3437	1614	3.6667	4.3333	1.3333	1.3333	3	5	-1	1.6667
sm4611149	17161	913	558	1	1.3333	4.3333	1.3333	1	1.3333	-1.3333	-1.6667
sm4611428	8685	331	300	4	4.3333	1	1.6667	4.6667	4	0	2
sm4669648	16762	344	390	2	1.3333	4.3333	2.3333	3.3333	1	1	-2
sm4740727	40660	823	768	4	4.3333	1	2.6667	3.6667	4.3333	0.3333	1.3333
sm4773890	4474	460	142	3	4	2.6667	2.3333	4	4	-0.3333	1.3333
sm4775983	16179	241	356	2	1.3333	4.3333	2.6667	3	2	-0.3333	-1
sm4917069	62723	1325	2638	3	2.6667	3.3333	2.6667	2.3333	2.6667	-1	-0.6667
sm4966548	11350	435	283	3	3	2.6667	1.3333	1.6667	1.6667	-1	0.6667
sm5085658	114072	2074	3636	3.3333	3.3333	2.6667	1	1	3.6667	-1	0
sm5114973	8024	259	258	3.6667	3	3.3333	4.6667	4.3333	2.6667	1.3333	0
sm5137683	5313	233	106	3.6667	4	1	2	2.3333	4.3333	0.3333	1.3333
sm5168173	12371	513	508	4.3333	4.6667	1.3333	2	4.3333	5	0.3333	2
sm5281569	10465	313	405	3	2	3	2.6667	2	2	-0.6667	-0.3333
sm5296638	27315	800	972	2	2.3333	3.6667	3.6667	3.3333	1	0.6667	-1
sm5332327	4520	261	127	2.6667	2	4	2	2	2	-0.3333	-0.6667
sm5332638	110737	1437	3589	3.3333	3.3333	1.6667	3.6667	2	2	1	0
sm5486732	7800	623	289	2	1.6667	4	3.3333	2.3333	2	1	-1
sm5513850	10666	206	424	3.3333	3	1.6667	3.3333	1.6667	2.3333	0.6667	0.6667
sm5563391	69776	1018	2320	3.6667	2.3333	3.3333	4	1.3333	1.3333	1.3333	-0.3333
sm5601322	8260	236	176	3.3333	2.3333	1.3333	3.6667	5	2	1.3333	0.3333
sm5608513	36332	713	1031	4	3.6667	1	2.6667	2.6667	3	0.6667	1.6667
sm5657281	5595	315	209	2.6667	2	2.3333	4.6667	3	1.6667	1.6667	0.6667
sm5717613	9711	220	364	1	1	4	1.6667	4	1	-1	-1.6667
sm5870324	48876	2034	1789	3.3333	2.6667	2	3.3333	2.6667	2.6667	0.3333	0
sm5948584	8131	291	321	2.3333	2.6667	4.3333	4	3.3333	1.6667	0	-0.6667
sm6030356	57058	1270	2006	3.3333	1	4.3333	4	3.3333	1.3333	-0.3333	-1.6667
sm6059337	7177	148	127	1.3333	1.6667	3.6667	2.3333	2.3333	3	-0.6667	-1
sm6119553	4885	257	160	1.6667	1.3333	4.3333	2.3333	2	2.3333	-1	-1.3333
sm6137627	3323	232	109	3	4	1.3333	1.3333	2	4.3333	-0.3333	1
sm6165498	520631	49615	19887	2.6667	1	5	3.6667	2	2.3333	0	-2
sm6183732	2406	399	84	2.3333	2	2.6667	2	4.3333	2	0	0.3333
sm6235882	7583	279	304	3	4	2.3333	1.6667	3.6667	3.6667	0	1
sm6440455	11281	334	289	2.3333	1	2	3	5	1	1	-0.3333
sm6448701	8782	323	390	4.3333	4.6667	1.3333	2	3	4.3333	-0.3333	1.6667
sm6601567	8511	220	400	3	2.6667	3.6667	3.6667	3.3333	3	1	0.3333
sm6627628	14856	544	660	2.3333	2.3333	2	2	3.6667	2.6667	-0.6667	-0.3333
sm6677536	9397	222	380	2.3333	2	4	3.6667	1	3	0.3333	-0.6667
sm6723010	242372	10710	8095	3	2	3.6667	2	2.6667	2.3333	0	-0.6667
sm6727398	14157	467	841	2.3333	2.3333	2	2	2.3333	1.6667	-1.3333	0.3333
sm6753213	103405	1743	4833	4.3333	1.6667	4.3333	4.3333	1.3333	1.3333	1.6667	-1.3333
sm6865106	81614	1115	3194	3.6667	4	3	2.3333	4.3333	2.6667	-0.6667	-0.3333
sm6980351	8368	236	301	3	1.3333	4	2.6667	2	2	0.6667	-1.3333
sm6991834	57850	1453	1381	4.3333	4.3333	1.3333	3	3.6667	4.3333	0.6667	1.6667
sm7000665	42212	1552	1953	2.6667	2.6667	2.3333	1.6667	2.3333	3.6667	-1	0.3333
sm7030348	39555	691	1995	2	2.6667	1	1.3333	2.3333	3.6667	-0.3333	0.6667
sm7078981	98212	2477	4022	4.3333	4.3333	2	3.6667	4	4.3333	0.3333	1.3333
sm7093221	10540	323	371	3.6667	3.3333	1.6667	1.6667	3.3333	3	-0.6667	1
sm7215797	110329	3109	3625	1.6667	1.3333	4	1.6667	3	1.3333	-1.3333	-1.3333
sm7224643	11175	232	501	4	3	2.3333	4.3333	1.3333	2.3333	1.3333	0.3333
sm7232278	41497	2366	1008	1.3333	1.6667	2	2.3333	5	1	-0.3333	-0.6667
sm7354057	13592	236	580	2.3333	2	4	3	4	3.3333	-0.6667	0.6667
sm7382586	13917	758	142	3	2.3333	2.6667	1	4.3333	3.3333	-0.6667	1
sm7400854	39115	646	1879	2.3333	2.3333	3.3333	3	3	1.6667	0.6667	-0.3333
sm7400945	7386	300	87	2	2.3333	3.3333	2.3333	2.6667	2	-1.3333	-1
sm7402532	33474	2548	1095	3.25	3	1.75	2.75	2.25	3	0.5	1
sm7476730	14905	258	748	1.6667	1.3333	4.3333	1.3333	2	2	-0.6667	-1.3333
sm7504739	11519	247	370	4.6667	2.6667	3.6667	3.6667	2	2	1	-1
sm7527985	31523	1018	1773	2.6667	4	3	1	2.6667	3.3333	-0.6667	1
sm7550182	4163874	125558	127823	2	1	4.6667	3	5	1.3333	0.3333	-1
sm7597329	198291	3773	6538	3.6667	4.6667	1.6667	1.6667	2	4.3333	0	2
sm7598217	51999	3835	2341	4.3333	4.3333	1	3.3333	2.3333	4.6667	1	1.6667
sm7612037	12112	567	506	2.6667	3.3333	4	1.6667	2	2.3333	-1	0.6667
sm7681611	14044	206	653	1.6667	1.3333	3	1.3333	4	2	-1	-1.3333
sm7686320	38878	808	1392	3.3333	2.3333	4	2.6667	3.6667	1	1	-0.6667
sm7778065	5857	485	243	2.3333	1.6667	3	3.3333	3.6667	1.6667	-1	-0.3333
sm7792239	98395	1839	4420	2.3333	2	4.6667	1.6667	2	1.6667	-1.3333	-1.3333
sm7807845	5297	223	187	2	3	2	2	1.6667	2.3333	-0.6667	0.6667
sm7811586	33294	733	1658	2.6667	1.6667	4.6667	3.3333	3	1	0.6667	-1.3333
sm7878515	98746	1404	4270	1	1	4.6667	3.3333	3.6667	1	0.3333	-1.6667
sm7879207	108167	1519	5074	3.3333	3.6667	1	2.3333	4.6667	3.6667	0.3333	1.6667
sm7882150	936317	18856	35883	4	3	3	3.3333	2.6667	3	1	0
sm7891168	12258	204	500	2.6667	2	3.6667	3.3333	3.3333	1	1.3333	-0.6667
sm7897854	75349	1391	4255	3	2	4.3333	3.6667	2	1.3333	0.6667	-1
sm7992704	1561557	30069	49566	3.3333	2	4	3.3333	2.6667	2	1	-1
sm8061167	6762	250	170	1.3333	2	3.6667	2.3333	2.3333	1.6667	-1.3333	-0.6667
sm8091446	24717	528	1001	3	2	3.3333	4	4.3333	1.6667	1.3333	-1
sm8098660	8802	226	277	2.3333	1	4.3333	4.6667	2.3333	1	1.6667	-1.6667
sm8119054	64358	1787	2959	2.3333	2	2	3.3333	3	2.3333	1.3333	0
sm8121199	6627	187	272	1	1	3.6667	2.3333	2.3333	1.3333	-0.3333	-1
sm8163888	8887	238	417	3	3.6667	2	2.6667	3.3333	4	0	1.3333
sm8194738	10786	204	452	3.6667	1.6667	4	4	1.6667	3	1.6667	-0.6667
sm8251494	17595	237	1058	3	2.6667	1.3333	2.3333	4.3333	2.6667	0	0
sm8265929	28798	885	930	2.6667	2	4.3333	2	2.3333	2	0.6667	-1
sm8326494	86880	1995	3892	1.6667	1.6667	4.3333	1	1.6667	1.6667	-1	-1.3333
sm8412978	69636	2950	1903	3.3333	2	4	3.6667	2	1	0.3333	-1
sm8414715	151014	1764	8442	3	3	3	2	1.3333	3.3333	-1	0.6667
sm8432098	43007	1124	2075	2.3333	1.6667	3.6667	3	3.6667	1	1.3333	-0.3333
sm8451973	21575	461	994	3.3333	3.6667	1.3333	1.6667	3.3333	4.3333	0	1.3333
sm8468717	97666	1255	4268	2.3333	2.6667	1.3333	3.3333	5	2.3333	1.3333	0.6667
sm8529991	12756	528	645	1.6667	1.6667	4.3333	3	2.3333	1	0.3333	-1.3333
sm8614063	10893	472	439	3.75	1.75	3.5	4.5	3.25	1.75	1.25	-0.75
sm8619149	27206	3770	1429	3.6667	3	1.6667	3	4.6667	2.6667	0.3333	1
sm8661117	11555	250	475	4	3.3333	2.6667	3.6667	4	2.6667	0.6667	0.3333
sm8670561	27941	451	1090	4	4	1	3	3.3333	3.3333	0	1
sm8696152	47744	2418	1733	3.3333	1	4.6667	4.3333	1.3333	1.6667	0.6667	-1
sm8699900	11180	245	518	4	3.6667	1.3333	2	3.3333	4	-0.3333	0.6667
sm8700898	17429	564	695	3.3333	3.6667	1.6667	1	4.6667	2.3333	0	1
sm8707393	14507	399	722	3.3333	3.6667	1	2.3333	4.3333	4	-0.3333	1.3333
sm8712532	56176	1622	2652	3.6667	4	1.6667	1	2.3333	3.3333	0.3333	0.6667
sm8738313	5841	481	134	3.6667	3.3333	1.6667	1.6667	2	3.3333	0.3333	1
sm8754973	11824	391	713	2.3333	3.6667	2.3333	1	2	4.3333	-1.6667	0.6667
sm8755465	13153	317	782	1.3333	2	3	1	2.6667	4	-1	0.3333
sm8781129	11417	365	536	1	1	1	1	1	1	0	0
sm8796407	24569	701	1192	2.6667	1.6667	2.6667	3	2	1	0.3333	-1
sm8906830	9397	267	485	3.6667	4	2	2.3333	3.6667	4.6667	-0.3333	0.6667
sm8933166	2029487	43719	75910	3.3333	3.6667	2	1.6667	4.3333	4	-0.3333	1
sm8937853	4715	143	173	3.6667	2	3	4.3333	1.6667	1.3333	1.6667	0.3333
sm8976018	11733	211	386	4.3333	4.3333	1	2	1.6667	4	0	2
sm9022413	43030	810	1613	2	2.3333	4.3333	1.3333	3.3333	2.6667	-2	-1
sm9024627	49607	837	2523	3.3333	3.6667	1.3333	1.6667	2.6667	3	0	0.3333
sm9093103	55623	1533	2381	3	2.3333	3	4.6667	4	2	1.3333	0
sm9093561	41885	761	2511	2.3333	2	3	3.6667	4.6667	1.3333	1.3333	-0.3333
sm9100218	22527	1860	923	3.3333	3.6667	1.6667	1	2.6667	4.6667	-0.3333	1.6667
sm9128830	8724	362	390	3.3333	3	2.3333	3	3.6667	2.6667	0.3333	0.6667
sm9154541	14209	279	591	1.6667	1.3333	3.3333	3.3333	2	1	1	-1
sm9168029	19741	226	534	3	3.25	2.75	2	3.75	3.25	-0.25	0.25
sm9174236	16549	552	469	3.3333	3	1	1.3333	4.6667	1.6667	0	0.6667
sm9213450	10991	924	467	4.3333	3	3.6667	3	4.6667	1.6667	0.3333	0
sm9218213	165077	5193	7908	2.6667	1.3333	3.6667	3.6667	1.6667	2	0.3333	-0.6667
sm9228896	29228	455	1265	3.3333	2.3333	2.6667	3	1.3333	1	0.6667	0
sm9292554	15746	235	606	2.25	2.5	2.25	2	4.5	1.5	0.5	0.5
sm9301676	235210	5278	12362	2.6667	3	2.6667	2.3333	1.6667	2.3333	-0.3333	0
sm9409012	18057	260	817	2.6667	3	1	1	1.3333	3	0	1.3333
sm9430710	18337	612	893	1	1	1	1	1	1	0	0
sm9439204	14630	738	714	1.6667	1	4	1.6667	2.3333	2	-1.3333	-0.6667
sm9537937	12997	1164	521	4	4.3333	1	2.6667	4.3333	4	0	1.3333
sm9538407	5996	403	335	1.3333	2.6667	3.3333	1.6667	1.3333	1.3333	-1.3333	-0.6667
sm9682775	6289	264	241	3.6667	2	4	4.3333	2.3333	2	1.6667	-0.3333
sm9708587	3557	220	189	3.3333	2.6667	1.6667	2.3333	4.6667	4	-0.3333	1
sm9731365	11525	355	620	3	4	1.3333	1	1.6667	4	-0.3333	1.3333
sm9764858	17250	671	698	3	3.6667	1.6667	1.6667	2.6667	4	-1	1
sm9794134	26037	401	1107	2	2.6667	3.6667	1	2	1.6667	-1.6667	0
sm9797544	72331	1377	4105	2.3333	2.6667	3	2	3.6667	1.6667	-0.6667	-1
sm9829617	226076	3639	10005	3.6667	3.3333	1.6667	1.3333	2.6667	3.3333	0	1.3333
sm9854305	23500	653	1475	2.3333	2	2.6667	3	2	1.3333	1	-0.6667
sm9874221	26507	645	1063	1.6667	1.3333	2.3333	1.6667	1.6667	1.6667	-0.3333	-0.3333
sm9893696	60686	2636	2403	1	2	3.3333	1.3333	3.6667	4	-1.3333	-0.3333
sm9931198	7763	260	342	3.3333	3.6667	1.6667	2.6667	4	4.3333	0	1.3333
sm9981341	20159	501	1080	3	2.6667	2	4	3.3333	1.6667	1.3333	0
